ID,BLEU,METEOR,ROUGE1,ROUGE2,ROUGEL
1,0.10012505335785508,0.34226831117474615,0.5296089385474859,0.1298992161254199,0.25027932960893856
2,0.025089888588824806,0.28212723005039075,0.4315068493150685,0.07322654462242563,0.2123287671232877
3,0.04083510417563833,0.30058142379685476,0.501230920728705,0.07984228684080828,0.20187099950763168
4,0.07735161183855886,0.32021103236186105,0.47356321839080456,0.1152073732718894,0.21379310344827585
5,0.05202704056171845,0.29256606900759796,0.4917617237008872,0.0889453621346887,0.2179974651457541
6,0.04710900025510146,0.28222520898302145,0.43513513513513513,0.059620596205962065,0.21621621621621623
7,0.08077647239967625,0.3399666130762729,0.5274527452745276,0.1424706943192065,0.279027902790279
8,0.0406397726888577,0.27318408678993417,0.45520581113801456,0.060679611650485445,0.18401937046004843
9,0.04004792210625321,0.28037827642192376,0.490566037735849,0.11041009463722397,0.24213836477987422
10,0.07584200641449938,0.3243806966537875,0.5442708333333333,0.14863102998696218,0.25911458333333326
11,0.02805645420410975,0.256975337522251,0.4024024024024024,0.0391566265060241,0.1741741741741742
12,0.03249192844023885,0.28502378449629423,0.43979057591623033,0.07894736842105264,0.2094240837696335
13,0.036539176117293175,0.29835539746570483,0.49911504424778763,0.07815275310834813,0.2053097345132743
14,0.05526868773751717,0.26680185601586665,0.4369501466275659,0.07941176470588235,0.20234604105571846
15,0.0772010718964619,0.28643198097478834,0.47922437673130197,0.08333333333333333,0.21329639889196675
16,0.05800866606551847,0.30593352575452554,0.39999999999999997,0.08695652173913043,0.20392156862745095
17,0.053998020297562045,0.32466933879482757,0.5119506553585197,0.1111969111969112,0.26060138781804165
18,0.016125999159173832,0.22594805350938146,0.3464203233256351,0.04176334106728538,0.15704387990762125
19,0.05788562471430774,0.27977261287892385,0.44571428571428573,0.06321839080459771,0.22857142857142856
20,0.036671566361853446,0.2724872954987,0.431924882629108,0.05660377358490566,0.2112676056338028
21,0.028283736810052664,0.2675613403110951,0.4222585924713584,0.06896551724137932,0.2127659574468085
22,0.018488103248160945,0.28079430604497396,0.46236559139784944,0.05172413793103449,0.18064516129032254
23,0.04879546615068867,0.3063011298920942,0.5101010101010102,0.1139240506329114,0.21464646464646464
24,0.05183371275229191,0.2792042026544657,0.419753086419753,0.14285714285714285,0.2654320987654321
25,0.041655798407859906,0.3089324559917412,0.5353319057815845,0.10436025732666189,0.22127052105638834
26,0.015691266363430417,0.3018534529898798,0.461361014994233,0.0809248554913295,0.18685121107266436
27,0.06137638957863436,0.3393642129439614,0.5407949790794978,0.12774869109947645,0.24581589958158997
28,0.07038110420313942,0.3606260276433459,0.5112426035502959,0.09727164887307235,0.23905325443786982
29,0.042130122329188356,0.3138932779839372,0.46656760772659733,0.1013412816691505,0.22882615156017833
30,0.02045102920468298,0.2390646127044056,0.3920265780730897,0.05333333333333334,0.15946843853820597
31,0.018685406746665523,0.2169774319066148,0.2844036697247706,0.03703703703703704,0.1743119266055046
32,0.06942594911910899,0.31536394670519874,0.5195439739413681,0.13050570962479607,0.21498371335504884
33,0.023048327314828684,0.2501129619701286,0.4568527918781725,0.057724957555178265,0.20642978003384094
34,0.05611075769030618,0.32053536625373646,0.5245597775718257,0.11884865366759517,0.2242817423540315
35,0.04119348641586847,0.31358346191330955,0.48068669527896996,0.09051724137931033,0.24034334763948498
36,0.06500356817489003,0.33470341456497027,0.5421455938697318,0.1401151631477927,0.2739463601532567
37,0.07875689912623396,0.33658550822701727,0.5423111919927207,0.13309024612579762,0.26933575978161967
38,0.0743323294044465,0.345267522956388,0.59048553212359,0.14923907707412862,0.24129475232957331
39,0.037702620474874333,0.2883589164338227,0.4498416050686378,0.04867724867724868,0.1921858500527983
40,0.0261952335858601,0.28580984754418637,0.4601175482787574,0.07905803195962995,0.19143576826196476
41,0.028383131361540612,0.32800576839864853,0.4270462633451957,0.075,0.2099644128113879
42,0.0239313269331009,0.28837070764126627,0.48088531187122735,0.07056451612903225,0.18108651911468812
43,0.05124667005538397,0.3463573577125797,0.5213675213675213,0.12900926585887385,0.20441595441595445
44,0.025501253630989765,0.25992779716163666,0.416243654822335,0.05343511450381679,0.1700507614213198
45,0.12701742649772765,0.3285339567947123,0.48695652173913045,0.1749271137026239,0.336231884057971
